[INFO ] [2022-05-12 16:39:44,227] Pre-condition - Step 01:Init browser and go to Homepage to: https://demo.nopcommerce.com/
[INFO ] [2022-05-12 16:39:51,766] Browser name and version is: chrome 101.0.4951.64
[INFO ] [2022-05-12 16:39:51,958] TC_01_Register_With_Valid_User_Name_Password - Step 1: Click on 'Register' field 
[INFO ] [2022-05-12 16:39:52,850] TC_01_Register_With_Valid_User_Name_Password - Step 2: Select gender
[INFO ] [2022-05-12 16:39:52,945] TC_01_Register_With_Valid_User_Name_Password - Step 3: input 'first name' textbox
[INFO ] [2022-05-12 16:39:53,077] TC_01_Register_With_Valid_User_Name_Password - Step 4: input 'last name' textbox 
[INFO ] [2022-05-12 16:39:53,204] TC_01_Register_With_Valid_User_Name_Password - Step 5: input 'email' textbox 
[INFO ] [2022-05-12 16:39:53,359] TC_01_Register_With_Valid_User_Name_Password - Step 6: input 'password' textbox 
[INFO ] [2022-05-12 16:39:53,501] TC_01_Register_With_Valid_User_Name_Password - Step 7: input 'confirm password' textbox 
[INFO ] [2022-05-12 16:39:53,639] TC_01_Register_With_Valid_User_Name_Password - Step 8: Click on 'Register' field 
[INFO ] [2022-05-12 16:39:54,706] TC_01_Register_With_Valid_User_Name_Password - Step 9: Click on 'Register' field 
[INFO ] [2022-05-12 16:39:54,772]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-05-12 16:39:54,943] Close browser
[INFO ] [2022-05-12 16:39:54,943] OS name = windows 10
[INFO ] [2022-05-12 16:39:54,944] Driver instance name = windows 10
[INFO ] [2022-05-12 16:44:07,069] Close browser
[INFO ] [2022-05-12 16:44:07,070] OS name = windows 10
[INFO ] [2022-05-12 16:44:07,070] 
[INFO ] [2022-05-12 16:56:50,453] Close browser
[INFO ] [2022-05-12 16:56:50,454] OS name = windows 10
[INFO ] [2022-05-12 16:56:50,455] 
[INFO ] [2022-05-12 16:57:07,123] Close browser
[INFO ] [2022-05-12 16:57:07,125] OS name = windows 10
[INFO ] [2022-05-12 16:57:07,125] 
[INFO ] [2022-05-13 11:10:17,885] Pre-condition - Step 01:Init browser and go to Homepage to: https://demo.nopcommerce.com/
[INFO ] [2022-05-13 11:10:32,208] Browser name and version is: firefox 91.7.1
[INFO ] [2022-05-13 11:10:32,467] TC_01_Register_With_Valid_User_Name_Password - Step 1: Click on 'Register' field 
[INFO ] [2022-05-13 11:10:36,238] TC_01_Register_With_Valid_User_Name_Password - Step 2: Select gender
[INFO ] [2022-05-13 11:10:37,383] TC_01_Register_With_Valid_User_Name_Password - Step 3: input 'first name' textbox
[INFO ] [2022-05-13 11:10:37,503] TC_01_Register_With_Valid_User_Name_Password - Step 4: input 'last name' textbox 
[INFO ] [2022-05-13 11:10:37,941] TC_01_Register_With_Valid_User_Name_Password - Step 5: input 'email' textbox 
